ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey
1,10359364,754005,970349,160,5184162,1076506,180,281645,759966,924203,10565278,
0,15441146,755898,967934,80,5205229,779824,231,215261,788319,741512,10616124,
1,11859980,754987,965509,160,5267115,947085,210,206225,730862,726765,11431232,
1,10485220,1232216,973234,81,5174994,1071136,350,249034,728658,985837,10824140,
1,14726102,753384,967042,80,5171968,1286458,161,288117,767330,760327,10464642,
1,11926634,774964,966370,250,5318332,1059023,401,212546,730671,724651,10438582,
1,11471458,1679039,1443610,161,5203075,1030129,210,221082,772409,724169,10342474,
1,14397119,1060416,1378328,210,5198267,993762,111,222605,761670,733026,10449411,
1,11531480,1228029,971140,221,5188167,1064934,70,212306,784662,723949,11110013,
1,11770073,749757,975879,71,5190242,1113465,370,362987,769494,729420,10757878,
1,9781417,743937,965138,291,5174873,1069624,371,262028,770215,737565,10480390,
1,15924877,1696471,1462686,70,5172469,1241543,351,161198445,789531,733728,10611805,
1,5120252,1219893,969246,90,5319632,1079892,591,258752,785384,727285,10334668,
1,5023653,1297619,980336,160,5222282,1071086,261,276224,813275,731734,10766754,
1,4885315,1353082,973143,80,5256224,1063802,461,251639,756109,714602,10722893,
1,4940136,848481,969306,100,5494268,1104618,371,280532,778762,724099,10780250,
0,4851481,809578,968054,90,5806279,906069,431,276024,753033,1618657,10284836,
1,4986392,1246953,974306,160,5170104,1086545,410,267318,745219,744678,10604332,
1,5085086,1975171,979696,100,5174342,1115399,261,272007,795362,714110,10588363,
1,5055230,737484,967233,80,5164845,1110430,501,265224,799079,765797,10538339,
1,5175174,1491078,991628,90,5180884,1095552,371,277337,790493,748244,10597029,
1,5327368,748795,968235,160,5204088,1180520,621,269402,791606,730081,10627735,
1,5209938,759705,981489,80,5174052,1107283,381,272498,752012,821862,10900442,
0,5092299,965229,967844,91,5172300,867237,401,266026,743476,800341,10660976,
1,5019022,2355219,1783814,160,5258710,1146767,260,268811,760988,724610,10589713,
1,8752051,1268824,971029,250,5206252,1109438,361,253542,743105,867026,10136249,
0,15482011,1220935,966381,260,5266143,1023307,341,254294,745129,717186,10601205,
0,11160177,1224162,971982,161,5196804,880461,260,353228,833964,762941,11182367,
1,14611830,2496031,1205407,80,5238822,1127150,681,262960,767480,746982,10598070,
1,9217196,1694217,1509473,170,5311970,1065285,471,233294,775505,746200,10615321,
0,10089353,752813,967492,160,5210329,1058152,250,224479,845024,722877,10560450,
1,11635693,1392355,976089,161,5201122,1151887,351,267869,861445,785032,10339348,
0,10833618,1245801,1441987,311,5233605,871324,281,261498,772479,730382,10617014,
0,14936436,767100,967363,170,5182667,883436,271,269883,772800,735952,11068876,
0,11347495,767400,1009391,71,5195742,1004021,271,262129,789391,727786,10637663,
0,15558897,760937,968144,150,5186926,860584,360,80366762,767320,740370,10621824,
1,5047075,754255,974656,101,5171968,1106582,381,257590,780925,761169,10852344,
1,5022560,773190,967172,90,5168882,1097215,270,263581,775716,750269,10121421,
1,5115122,1270858,1141437,90,5471306,1213752,360,264714,754817,786115,10576870,
1,4953741,1216787,970749,90,5183410,1131008,470,255296,761279,732805,10957249,
1,4910381,1259407,986589,60,5415171,1158890,351,256508,744247,781496,11007402,
1,4933626,1228389,971501,90,5282613,1186821,170,258462,752031,732916,10994148,
1,4815935,1238147,967553,100,5172869,1097024,260,269192,766258,730461,10624740,
1,4813860,1259507,972302,100,5335763,1162496,361,269262,754145,732295,10666749,
1,4800686,1229782,971891,70,5191594,1158458,280,271536,750689,721855,10550762,
0,4776992,742163,1047432,160,5196784,846558,121,230961,731102,743626,10659956,
0,4817357,740780,966932,61,5202846,810370,120,212676,769705,723358,11023844,
0,11240536,756860,966701,230,5227441,856436,361,229689,765977,729419,10613959,
0,15714715,1236965,968614,261,5237119,861285,441,80922399,790563,753023,10588393,
1,4623987,1249719,972382,90,5180834,1155413,461,281796,775946,724180,10593271,
1,4626842,740570,968234,90,5150768,1132972,261,260686,745359,729630,10704788,
1,4714114,1680591,1114446,90,5177790,1133442,240,260806,782639,720513,10583812,
1,4755923,752973,965559,80,5201834,1128974,361,247871,760497,727666,10586207,
1,5068024,836218,964487,80,5201474,1093658,370,255126,757261,728177,11025466,
1,4844668,801724,967474,91,5157612,1115038,361,249324,761519,727556,10608368,
1,4814803,795082,967012,120,5275902,1140024,351,265114,736462,728978,10723734,
0,4769780,750018,1074653,80,5167469,811212,491,234507,733406,734699,10871608,
1,5073083,1756282,1115087,70,5242660,1217509,351,271456,761319,727074,10407856,
0,4977245,1683617,1010913,81,5834893,859311,411,215632,772199,734779,10504947,
0,5401144,800451,968144,160,5190352,842079,471,224648,780835,1115890,10411723,
1,11731190,1680471,1418423,160,5190824,1154291,370,269322,756881,748975,10554688,
1,13976456,1223239,969326,70,5609473,1131289,301,262439,751219,721745,10698858,
1,10918846,748444,964267,161,5358916,1178556,290,250637,787478,713670,10741416,
1,15564125,1255631,995535,161,5166036,1190889,130,263110,788128,756119,11269950,
1,14058988,751340,964507,260,5219318,1149793,171,253222,785534,779402,10913066,
1,11167242,1218050,968765,220,5258088,1134785,311,284600,790323,753143,10538720,
1,10861580,1343243,968174,260,5201042,1250380,130,256999,762050,740770,10287222,
1,11056213,1702052,1314911,100,5267858,1134054,261,257400,1192542,737464,11005037,
1,13428434,1224312,968956,71,5268137,1145435,250,260615,747763,971851,10743121,
1,10419136,1218802,974215,221,5197566,1071086,271,255907,871174,814448,11370017,
1,10311305,756380,967593,281,5193308,1051940,171,250938,873879,720352,10764248,
1,15328215,754516,966531,260,5333559,1104589,281,272318,742303,722577,10207693,
1,11814395,1691763,979214,250,5209329,1137790,130,251909,746281,740159,11257388,
1,9786439,1237586,966671,160,5183910,1092887,260,274241,746832,830157,10733011,
1,10951028,1005224,965940,100,5204137,1061679,260,263521,745560,735641,10655667,
1,11108830,976430,968996,231,5207034,1022446,441,255315,737564,719641,10645608,
1,15518120,742493,966120,170,5199509,1016004,361,257570,753213,730150,10808892,
0,11538622,1063031,965819,80,5167511,672914,461,249395,729609,733097,10627914,
0,11871383,1368020,971961,161,5382269,702789,481,234958,754786,736443,10639016,
0,15210604,755548,967503,70,5177828,665791,481,231071,755789,721855,10678620,
0,12327264,765988,966391,160,5270351,681751,261,76270108,754757,744437,10638837,
0,4628505,746241,989144,261,5228252,538774,601,82055012,781686,733227,10597026,
0,4630949,786796,967853,160,5196806,723238,340,81400430,745629,736292,10630010,
0,4657920,938068,993010,60,5209187,695336,461,81701934,757522,734228,10594492,
0,4649343,785264,967162,80,5225389,697399,371,81371476,743475,746191,10647792,
0,4678098,1233488,976349,90,5363244,689044,461,81379050,744889,736062,10628937,
0,4621542,759535,968535,101,5223075,712758,470,81452818,754516,751670,10615042,
0,4762264,755709,966902,80,5333268,714522,111,79484400,745228,756620,10688409,
0,4999676,746691,965890,80,5214216,536891,471,81579335,780594,729520,10662920,
0,5146070,1228839,1263745,90,5173911,572888,120,79652262,780785,739758,10650408,
0,5016067,1260959,971550,100,5198417,471228,221,80130625,798688,782778,10577090,
0,5015307,1223260,972292,100,5868175,473643,131,80242893,778952,751480,10905073,
0,4757535,2538340,968555,221,5223824,475416,411,80231463,801213,750068,10613518,
