ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,,Total,Max,MaxName,Contribution,,FPS(Tracking),Biggest Delay (Tracking),Contribution,Time
1,745069,706738,978534,160,5402179,753444,70,257049,759105,740770,10895909,,21239027,10895909,TimeWaitKey,51.30%,,47.0831361530827,TimeWaitKey,51.30%,10.895909
1,767901,709412,1813190,70,5124712,724210,80,241871,782809,718719,10767599,,21650573,10767599,TimeWaitKey,49.73%,,46.1881540040534,TimeWaitKey,49.73%,10.767599
1,899727,1222529,964477,90,5183942,724160,80,234557,803318,709793,10742422,,21485095,10742422,TimeWaitKey,50.00%,,46.5438947326042,TimeWaitKey,50.00%,10.742422
1,11599911,1235132,967513,60,5159416,705545,70,152692612,745960,751711,10850605,,184708535,152692612,Facendi,82.67%,,5.41393498681585,Facendi,82.67%,152.692612
1,768262,748375,976781,80,5329914,728168,80,246760,736353,753895,10148936,,20437604,10148936,TimeWaitKey,49.66%,,48.9294146221837,TimeWaitKey,49.66%,10.148936
1,785364,773141,965239,60,5354620,725863,70,238003,745470,715644,10703890,,21007364,10703890,TimeWaitKey,50.95%,,47.6023550598733,TimeWaitKey,50.95%,10.70389
1,974898,1774468,963937,71,5254583,737034,70,255266,742153,737725,10804428,,22244633,10804428,TimeWaitKey,48.57%,,44.9546638957811,TimeWaitKey,48.57%,10.804428
1,771869,754526,976249,101,5213177,733948,150,246479,768502,799420,11049405,,21313826,11049405,TimeWaitKey,51.84%,,46.9179020228466,TimeWaitKey,51.84%,11.049405
1,1060697,1012738,1321664,100,5267568,786737,70,247862,738848,718258,10740028,,21894570,10740028,TimeWaitKey,49.05%,,45.6734249633585,TimeWaitKey,49.05%,10.740028
1,1407954,1660475,965500,170,5244315,746612,70,252050,780936,1781731,10650732,,23490545,10650732,TimeWaitKey,45.34%,,42.5703192497237,TimeWaitKey,45.34%,10.650732
