FPS:,90
ResolutionHeight:,480
ResolutionWidth:,640

ObjectFound,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
1,325577,19223184,4773035,364,8423346,7773128,469,1359810,3770261,3713281,104,74653848,24888991,2396,
1,125418,23026882,4855641,261,7963235,6322119,208,1235694,3681040,3830886,209,75497453,24219659,2552,
1,99324,22994590,8947155,365,8002142,6293941,469,1458718,4101776,5317730,156,82385831,24708728,781,
1,177763,18867866,6139825,729,8259125,5997479,209,1298143,3615987,3780469,157,72958825,24547267,990,
1,98647,24242732,4892672,313,8002975,6105762,261,1393717,4155006,5432784,104,79598917,24813470,625,
1,177711,18442704,5022986,416,8393085,6899262,156,1376686,3672186,4118651,156,73232526,24810397,2552,
1,139116,18787761,5002829,416,8030320,5959718,260,1211319,3668436,3951981,208,71215936,24204138,468,
1,110158,19913609,4911370,313,7902870,5876644,208,1265694,3827813,5529087,156,74573014,24854094,1823,
1,271671,20748673,4778817,990,8360272,8036362,417,1362884,3792240,3835574,208,76330590,24758885,2136,
1,144637,23191363,9708728,260,7867557,6030605,208,1262362,3741510,3886512,156,80328042,24229347,4479,
1,109845,19267195,5370074,468,8151832,5859664,156,1233403,3835417,5584244,156,74630462,24807844,729,
1,314275,19775118,4895745,885,8640484,7978913,365,1329394,3849949,3811407,104,75633599,24660393,1562,
1,133804,20143925,9916595,312,7894641,6049198,209,1222516,3644790,4091984,157,77542635,24212678,833,
1,99376,15713968,3766406,416,8034851,5676641,260,1158141,3624269,4206934,104,67493382,24968783,1615,
1,85366,18714738,4012659,313,8117144,5926124,364,1241267,3953388,5805393,104,73061636,24759510,677,
1,202763,15257555,4139536,365,8912780,8012143,313,1150016,3803699,3742083,156,70453006,24845708,937,
1,126616,14591869,4917724,625,8275115,6139356,260,1255955,3654217,4026670,208,67842189,24533777,625,
1,119689,15043541,4249173,1042,8030059,5587161,261,1085015,3829637,3958544,2032,67219837,25040086,3645,
1,110679,17124873,4959600,313,8006673,5909352,521,1415749,4170892,5931228,365,72890124,24814771,625,
0,200472,16687367,3548695,573,9136897,7426196,260,1057515,3944169,3789636,208,70921138,24792218,1042,
1,126669,17019767,5167728,990,8344960,5995551,208,1189183,3822032,3906408,208,70075918,24238878,2813,
1,99324,20920081,4904860,260,7916776,5966020,312,1312831,4055368,5818414,365,76244389,24855292,3282,
1,312192,21118990,5051268,573,8706735,7471301,469,1369238,3897189,3637707,156,76814865,24823312,2917,
1,176982,21465922,4971006,260,7897922,5992270,261,1233402,3880157,4052765,313,74091494,24189137,1250,
1,98334,20516430,5072414,312,7895838,6033469,208,1286320,4139484,6122949,156,76388296,24811802,521,
