FPS:,30
ResolutionHeight:,480
ResolutionWidth:,640

ObjectTracked,WebcamRead,GaussianBlur,ColourConversion,SelectMode,InRangeMorphOpsDisplayDirection,TrackFilteredObject,PIDDist,Facendi,PutText,ShowImage,TimeWaitKey,Frame,MorphOps,DisplayDirection
1,60713,2038408,1523182,331,1193405,1089688,61,259986,898715,1999287,11064267,33489167,5153889,1106,
0,60733,2633885,2031651,320,1307755,904639,68,356606,667198,1344927,10118731,33494779,6645884,427,
0,77695,2471403,1882924,335,1669965,874593,48,257597,587088,1340112,10901236,33479166,6700272,536,
0,77459,2051288,1432977,281,1330419,742174,48,302948,774843,1763001,10151495,33458760,4657974,406,
0,64595,2537854,1882153,322,1393808,793161,58,20244500,1241852,2426770,10520615,46025802,4814109,790,
0,62316,2498501,1448018,368,1514157,522142,72,38067712,1335088,2849233,10232562,63949159,5309393,391,
0,57717,2112850,1443794,313,1219777,646862,74,21819905,753470,1656714,10902143,46179110,5463124,492,
0,59711,2795156,2226351,280,927486,573681,66,19157791,1284842,2842851,10922944,45415654,4519112,372,
1,67374,2766953,2035923,379,1189507,1090378,60,20884069,1224475,2836490,10537015,46932188,4194649,836,
1,74601,2820766,2103210,310,1264909,1083310,81,405326,923283,2131275,10934380,33461350,5551538,484,
1,84102,2044964,1526386,297,952973,1305332,75,220967,580383,1335698,11017035,33481542,6658633,436,
1,73621,3045895,2107729,260,1387400,924396,42,198961,584492,1336788,11026583,33484813,6443200,300,
1,73794,3049832,2287808,278,1353272,911745,42,20669990,1016973,2404070,11076113,49812629,6866620,978,
0,82046,2705673,2054004,709,1157609,668030,72,20779711,1231434,2865666,10341180,46715156,4712219,419,
0,74423,2555374,1876922,511,1421479,740642,68,20321490,1111632,2455973,10286858,48309513,7355296,548,
0,79208,3102139,1941886,295,1253135,504161,69,18487015,1323182,2813194,10698428,46844764,6535629,329,
0,61752,2400042,1731856,500,1317578,837997,98,21547803,1216143,2683661,10975451,49544427,6665388,1001,
0,74646,2542262,1635340,525,1118144,626990,66,21957273,610050,1437671,10722048,45053805,4226499,436,
1,61413,2867286,1906429,596,1137873,972674,44,20234718,1262761,2771500,10880560,46756493,4553616,363,
0,73632,2379788,1776926,320,1280650,971861,67,242817,594443,1349534,10759100,33499974,7326397,470,
0,69041,3151137,1899946,276,1217617,503460,66,239803,600203,1346454,10388860,33489819,6396906,613,
0,75856,2087943,1526821,298,974450,752940,65,241115,594243,1346076,10143799,33595445,7394326,448,
0,62184,2495526,1443024,300,1471571,698229,87,17073811,1176523,2548252,10772464,43963385,6116346,417,
0,84688,2823847,2262512,453,1074600,629126,68,19530025,714973,2297501,10323286,45351440,5510640,446,
0,63131,2829902,2085902,273,1505912,557405,63,18135699,1154772,2861226,10475432,44599284,4823341,845,
0,57913,2682757,2028430,403,1141690,649072,77,18082796,1142396,2924280,10402181,44887723,5665923,806,
0,58978,2916299,2011970,448,1430868,672701,71,20467283,828300,1994731,11155782,46804566,5168368,552,
0,60972,2356937,1508281,331,869816,658113,71,20943464,529340,1355140,10791476,44330153,5157544,465,
0,68419,2680916,2051877,276,1457583,581212,80,36403727,1168667,2805052,10354579,62544399,4863004,944,
0,74714,4300786,1852144,453,1208054,624334,63,21990022,1042664,2669618,10466343,48715927,4382027,330,
0,60471,3577683,1762346,318,1333919,676822,71,36625667,1159632,2871211,10651122,65022602,6185814,461,
0,59826,1994421,1533114,376,1638140,647384,77,28765269,762011,1862239,10870979,52947340,4711895,435,
0,59531,2529701,1867090,319,1327867,669448,75,34339619,1153404,2772734,10381084,59905737,4687864,863,
0,74085,3265997,2099405,564,1726134,632699,72,20938998,1038339,2592947,10362642,47518151,4482007,357,
0,58692,3072276,1882282,478,783142,681197,66,21310579,1144806,2863323,10515355,47990118,5571234,477,
0,74181,2516082,1880395,539,1230995,676035,67,18745515,1144204,2877838,10221135,45049934,5584239,414,
0,62950,3036300,2017063,615,1184824,587041,66,22115124,1072054,2548029,10401516,49649117,6517277,802,
0,76872,2513290,1802009,511,1149961,727505,87,21550848,1088956,2549906,10260940,46282702,4462329,340,
0,78236,3159947,1956737,320,1143993,547121,68,19677640,947548,2082664,10101553,44874698,5061525,472,
0,64325,2517650,1881938,527,1094138,880148,97,33089945,1182354,2871588,10384684,60392378,6307610,555,
0,51948,2384405,1748284,639,1290135,750182,73,21234500,1084890,2549338,10165158,46945229,5580087,782,
0,74977,2532574,1882620,505,1317677,781953,94,21054064,559833,1391967,10631842,45147233,4808917,483,
0,59645,2171086,1534199,468,1659227,636040,74,21726118,891895,2210255,11143348,47421616,5292916,335,
0,64703,4329173,1243022,535,735662,655660,68,20440866,1171712,2848974,10399367,46835865,4812593,502,
0,76007,2064837,1445440,295,1592947,723055,81,18192521,528611,1356360,10813416,43292125,6396008,1110,
0,66521,2704419,2037649,343,1439896,656914,72,20658162,1206105,2811804,10701261,47878730,5485239,524,
0,75035,3422455,1655775,484,713175,576831,71,19466181,1143437,2289154,10845461,45096870,4810455,466,
0,54215,2769473,1916291,515,771718,1536755,209,27168258,976048,2109994,10236742,51578182,3916726,543,
0,58336,4106161,1909069,639,1200921,1402567,71,28235843,554299,1536557,10129720,54244952,4996690,946,
0,62589,2848705,1468542,512,964141,681752,74,34624664,654424,1558243,10897872,59370350,5512111,495,
0,74662,2355604,1737897,312,1191310,722270,85,18471438,1032715,2604897,10372243,44708464,6038389,478,
0,56566,2148612,1529046,304,1600929,571245,78,36072541,1284166,3347210,10624419,62834986,5486625,455,
0,70725,2358370,1453396,492,1229493,679912,62,23684220,590193,1552203,16589417,53260968,4931158,836,
0,75365,2548175,1751278,639,1191275,699135,98,20592486,861539,2317313,10240386,45588411,5184702,485,
0,58603,3481518,1812818,532,889261,699211,72,20136720,1063254,2576285,10188590,45497695,4477447,490,
0,54909,2065447,1621736,755,1160698,981985,75,21622004,1159764,2826983,10589524,47355850,5161408,336,
0,58722,3040901,1971072,464,736039,630685,77,34414151,1143422,2872345,11110253,60581225,4485988,1186,
0,79219,2201593,1597969,491,945735,894707,70,20486172,1032053,2454627,10486609,45910199,5631848,480,
